@relation concentricCircles
@attribute x numeric
@attribute y numeric
@attribute class {0,1}
@data
12.90675586,-5.711102462,1
-12.30343683,6.231672697,1
-3.009988054,7.304348375,0
-14.02982677,-6.588209809,1
9.562090384,-0.169507419,0
-12.50667893,5.252797254,1
0.993228358,-6.719315431,0
4.056537519,-2.945748189,0
-15.03588783,-2.140769549,1
0.00561901,4.161176487,0
-3.676374788,13.27438064,1
-14.54820993,2.218007176,1
-5.090728837,-3.631457516,0
15.64127358,-0.913146529,1
-4.329511292,6.619805551,0
2.218030108,-2.044299995,0
-13.84290132,-3.359933885,1
11.95162428,2.017173638,1
12.06389396,-9.479583958,1
5.408633767,-0.37716757,0
6.370187398,1.871393465,0
12.03580351,6.153954111,1
0.263305111,13.33633544,1
11.84384,-4.341634367,1
0.760276841,-4.381144526,0
-0.067086292,13.07126701,1
2.378783173,12.63977686,1
-4.509066356,2.49493158,0
-2.959461486,13.8328616,1
15.32368572,0.943108246,1
-8.619945675,10.82077728,1
-15.82008318,-2.204693605,1
6.832442043,12.72902516,1
12.46855353,-7.690698491,1
1.505816397,-6.631598108,0
15.23815169,-2.44227056,1
-14.84982275,-4.042195228,1
-7.92116395,-3.778441626,0
0.851082906,-2.424005295,0
-1.273971388,9.846576097,0
3.435990348,5.235891354,0
4.85805222,14.42992983,1
-4.794348548,0.252356907,0
-13.30422278,7.376514989,1
3.786416843,9.198464372,0
-9.574122589,11.53885985,1
-0.767115877,-6.887242444,0
-0.311584156,13.77677319,1
2.259119334,-3.029346918,0
14.69421069,-6.004987155,1
-3.831468256,5.373578986,0
-1.513555128,-2.27139897,0
8.633384342,-9.633086336,1
2.986658659,12.07321306,1
3.068545274,6.483519668,0
1.486485806,6.248443016,0
-5.832811976,-2.338278534,0
-7.492814328,9.616118064,1
11.13473132,-8.718013271,1
-3.946729375,13.86651294,1
-1.098549949,-2.876853855,0
-4.827705985,4.292087719,0
13.74065082,-2.345019617,1
3.427532182,-5.007324727,0
6.302494907,14.35509075,1
10.00191047,10.81724081,1
-6.408927626,1.266042271,0
10.74786201,-5.881412311,1
9.802916367,7.413972183,1
10.21861739,8.382090835,1
2.557851658,-0.730433416,0
0.652875612,3.978221355,0
4.306812661,13.11347694,1
10.98373778,5.804562572,1
-14.67148266,-2.081186483,1
8.879128685,-9.191391899,1
-1.377881276,9.234581757,0
10.14327408,10.72935074,1
7.067204902,-9.956340129,1
-5.843973709,-5.715214479,0
-2.987802504,-5.277235165,0
11.90962196,9.448122226,1
-8.728562782,0.511353082,0
5.237277169,12.16892043,1
2.185161728,15.6608454,1
11.93371669,9.120541214,1
1.017759258,12.27544751,1
-15.25759765,1.916460988,1
-13.27000215,8.247867128,1
0.486343291,12.97554296,1
-5.211673613,-3.271094776,0
13.35747773,-7.08809218,1
-8.031025768,2.149139948,0
5.923445947,4.977573893,0
3.917926503,7.775370653,0
1.111818097,13.66957912,1
-4.825230752,1.394369518,0
-11.40365387,-6.262878363,1
-1.402614428,-8.605621802,0
-7.587905708,13.11952251,1
-7.082339356,10.54747808,1
-3.397102053,-2.16203931,0
11.57991539,-5.228114902,1
-13.18838234,2.759250944,1
-2.310214585,3.931443488,0
-4.259613841,6.122893507,0
-2.330871623,-5.929176991,0
-13.63862057,-7.771879924,1
1.47078894,-6.870510562,0
-2.460653594,13.12994351,1
13.49327599,-6.634050487,1
8.22944777,-9.098628312,1
4.278860093,5.245871802,0
-10.21734157,9.012850532,1
4.978774365,5.182303764,0
-2.533182249,-7.769419407,0
14.6853973,1.101144301,1
6.181507785,5.31541735,0
-10.84539373,-8.593606596,1
1.481924306,-6.685136431,0
-4.491804432,4.925568842,0
13.81129208,-0.022249183,1
2.881934798,2.385287984,0
2.26354968,7.444696412,0
-1.087898801,15.94270664,1
4.059116959,14.46960456,1
4.739586761,-5.246903409,0
3.722609575,15.13436869,1
-13.10063308,7.029084259,1
1.185757693,8.432796926,0
-0.483604355,-9.718482301,0
7.719601736,1.996506932,0
-12.75484975,-5.141567523,1
-8.68052542,11.71735606,1
-10.29167926,-6.665232611,1
12.49992003,4.834995341,1
-12.79795808,0.609157507,1
10.83414499,-5.326942469,1
-1.360271305,15.39453097,1
-12.42395467,-5.765111997,1
-0.741102265,12.84287088,1
2.51976232,1.386809471,0
-5.203180284,1.456313891,0
-7.761421137,1.784159303,0
-0.913392744,8.747943587,0
3.420297439,7.149592001,0
-14.60766363,-0.896600827,1
15.19379288,-0.620857157,1
3.179469202,14.48884386,1
-5.666278235,3.487353515,0
-10.82187237,10.01765816,1
-5.345586857,6.156832987,0
-4.353819531,-5.001940927,0
-10.97101448,6.861890321,1
3.463446256,7.308209194,0
13.84881335,-7.771445047,1
-6.490732623,3.646657297,0
9.019791403,-2.224626861,0
6.319250733,3.98440248,0
12.6516811,-5.867023921,1
7.418566182,3.776693331,0
2.658509309,3.12896435,0
3.939533655,2.658476309,0
-1.755059325,13.16590751,1
1.925497172,6.243275688,0
-8.732379682,0.958023514,0
-1.002266167,0.973574413,0
14.03308433,4.302975103,1
4.631051909,-3.10502381,0
-3.65918985,-9.058317575,0
-0.670988133,-6.978264059,0
0.726010432,7.647437275,0
-14.85938348,-5.609923259,1
4.521974365,13.84941247,1
-4.37724995,3.657962868,0
2.215277305,-4.355555699,0
-11.46741972,-8.759850633,1
15.45743051,-3.422605169,1
2.264023225,3.260645522,0
-12.0745279,8.949751941,1
-6.446989583,2.164855912,0
4.816215257,11.37652157,1
13.01933165,3.351130883,1
-8.764881811,-3.570942877,0
8.867704626,-2.69210967,0
-11.60681162,-7.721379725,1
12.5981067,9.222938036,1
-4.485005595,7.946601912,0
-14.04644025,6.95665406,1
-9.574147983,-8.794486525,1
-13.41849194,2.578725372,1
2.861413706,-6.862003994,0
-0.829513295,13.74456266,1
-3.80048154,12.78251871,1
-1.855339447,-3.053065846,0
-5.841712606,13.62990898,1
-12.71947714,7.665452742,1
13.98575948,4.925358749,1
8.42441388,-0.407098861,0
14.48476506,-5.331041895,1
4.241118128,14.47820354,1
-5.959554153,-4.068599518,0
6.38102322,5.632476179,0
7.357327547,-6.326884678,0
-2.503422995,13.94439036,1
-1.76311713,0.92873941,0
-3.775779565,0.612907235,0
4.139935595,-2.655721888,0
0.008978878,-3.403713202,0
11.64917494,-7.204144216,1
-13.44155709,3.365435386,1
-12.90271398,1.003817723,1
-9.002072211,2.088046471,0
4.710581956,11.74292795,1
4.398063065,13.03917068,1
1.554509214,0.819797092,0
-10.82464175,7.182306215,1
-11.25977039,6.84509313,1
-12.55372155,-4.61315031,1
4.834250607,14.2289668,1
-12.35710498,-6.681393678,1
9.167462099,8.613141587,1
8.105005062,13.18298578,1
9.42615422,-9.892230756,1
12.96332148,2.552107526,1
12.54634735,-6.423748173,1
-12.77267205,1.271404262,1
-11.03898998,8.418148522,1
1.54573469,6.721847061,0
6.500589978,12.70822101,1
8.682774278,0.247694748,0
14.29157176,-0.896932572,1
0.546564538,-3.80925015,0
-1.761840047,12.44239274,1
6.162831123,0.907013407,0
-2.413392249,6.276124835,0
3.452108697,-3.880921348,0
1.166123479,-9.152709889,0
-7.497489983,9.698131386,1
-15.1230483,2.480340666,1
-8.217947357,-0.962942164,0
-7.449496645,9.809867179,1
6.706792484,6.728022932,0
-11.02160173,-6.501357958,1
3.65391578,-6.352175153,0
-5.089117599,-4.543402047,0
-7.929602941,-3.255767911,0
-6.325110859,12.31436085,1
-1.3882244,-3.70758912,0
-3.006242472,3.853902471,0
-1.597326059,13.02112977,1
-10.09825319,9.348443667,1
5.152682785,13.4535939,1
-5.265181991,3.676384518,0
-9.524624114,2.746314314,0
11.3540637,10.6638562,1
3.933394747,7.55007704,0
11.59116054,-3.398451085,1
-4.922699793,-6.057957431,0
5.593103957,-3.626939054,0
14.13896961,-7.178938652,1
-2.753319027,5.371600961,0
-0.519402369,3.3979662,0
-7.095521519,1.564404259,0
4.885362461,4.363192882,0
9.074939532,13.10409992,1
5.194893714,12.2048961,1
3.103043782,7.708742067,0
4.683757296,5.839577829,0
5.613924563,-2.978637349,0
7.582204304,-2.495167647,0
-6.493767296,-2.130641059,0
-13.42195304,-2.66095742,1
15.43451861,4.200122271,1
1.957944269,6.53046054,0
-0.619203973,3.969785912,0
2.760106552,1.358125667,0
-4.346131411,8.185153708,0
-3.772959012,3.134344749,0
-4.105804401,8.434919838,0
14.1648715,7.093615666,1
-11.64675285,-3.804780255,1
1.255525777,-6.818578773,0
0.023737165,-8.641937144,0
12.46436834,-6.347080274,1
-11.07732373,10.16595163,1
15.14424537,-3.331637387,1
-13.30226554,-4.071791873,1
-7.006942237,11.90061429,1
-8.483133184,10.22493236,1
6.516735033,-3.098554233,0
-0.731395224,12.02151324,1
-7.531248991,5.16265668,0
2.591203192,-6.899668889,0
4.466366472,-6.412767459,0
4.006024939,14.69914159,1
5.124837402,14.71319435,1
4.658640425,11.64911692,1
7.170451327,10.27682562,1
-5.123468838,6.481966287,0
-10.33961977,9.734882658,1
12.84130854,-6.372290856,1
-8.084283449,-9.350790148,1
7.909879906,-2.314377249,0
4.064217455,11.7313359,1
-9.708700439,-7.869634306,1
-7.175550138,0.847555466,0
4.353097262,13.75806141,1
1.791143374,-0.056719499,0
10.61221657,11.35616978,1
-1.964059877,8.890306916,0
-5.501012308,-2.517820139,0
-3.090500776,-0.834877564,0
0.577242199,14.73401948,1
3.548242413,-8.922421709,0
0.922207189,-9.598709144,0
12.88413363,5.320218176,1
0.761543074,-0.806396763,0
-4.252021264,-2.376939984,0
12.48034124,5.086623868,1
-6.999957456,-5.765505487,0
3.23187256,-3.446290567,0
-8.08374442,1.598188157,0
0.833413945,-4.876363891,0
-1.892742948,5.61640295,0
6.765779834,1.414715105,0
-11.765386,4.246058553,1
-11.87728608,9.220602502,1
4.234003691,3.141300051,0
-3.680014084,-4.98160235,0
4.205297475,4.501004726,0
2.106851605,-9.371880244,0
-3.864800611,-3.550477554,0
-6.055048138,-4.160010512,0
0.106181836,7.363420913,0
-1.484117479,-5.664789464,0
1.982435348,-6.977832753,0
-3.283419491,-2.845076021,0
-13.62695679,4.730191008,1
2.657439466,7.831310443,0
-0.603704568,-6.72114904,0
14.56309854,-0.104319532,1
-7.311987748,-2.867014863,0
-3.616160658,14.53333665,1
7.216416313,-3.639071477,0
3.095130177,-3.750928925,0
1.757736724,0.814144089,0
9.508892492,0.7035473,0
-1.958314148,12.96110034,1
4.52256165,11.65261572,1
13.36279169,-8.721719546,1
13.03820147,-9.157498491,1
2.49448258,0.401312834,0
4.647569841,7.566435601,0
12.63256904,6.801436199,1
6.194848831,-3.595871583,0
7.84098557,0.004182429,0
-7.707215139,-3.423031254,0
-2.920213811,6.636693066,0
-2.181750769,-3.89860486,0
6.554773337,-3.632152054,0
5.699129431,5.786263641,0
3.312455124,12.30034833,1
-2.262611263,-2.065314026,0
-9.617951076,0.182218486,0
-13.11919339,1.558176672,1
5.086781369,11.09307294,1
13.76793892,0.840809788,1
-1.572313323,-3.10448264,0
8.83198671,-9.557065386,1
9.738966594,-8.676671033,1
-6.143184258,-6.543607391,0
1.045551235,14.33170611,1
13.21387665,2.106291913,1
9.115233099,10.66675202,1
-14.75962525,-0.361224591,1
-1.121208801,7.329532953,0
-12.58594352,-6.639979472,1
-15.71407565,1.606896288,1
7.933973546,1.012280356,0
-1.907124816,0.842731109,0
-10.85595702,5.724145528,1
13.47862668,-5.430290125,1
5.118129615,-8.126217994,0
-2.21452257,-6.798521963,0
13.85558486,-5.863608356,1
-12.45979983,3.758590821,1
4.103582673,-8.886608183,0
5.816051889,3.082771495,0
-6.030861921,6.414758098,0
8.998457636,-8.026856427,1
0.362300562,2.8481752,0
1.890151875,12.00037394,1
3.129567069,-2.651545072,0
-0.994745063,7.352665662,0
-0.51763875,14.31269965,1
-12.68245469,-8.549790364,1
2.46576925,4.689958525,0
-3.60341644,7.585790617,0
4.714242676,-4.815130278,0
10.92531073,8.800857063,1
-14.35716055,-6.79531982,1
-5.9703354,-6.139920423,0
-4.321967636,-8.215753862,0
-2.901930406,-7.613044044,0
-14.08867529,0.302870664,1
-7.529430505,4.926166682,0
-3.085202425,-7.098053607,0
-5.049377092,14.45910974,1
-12.67974062,-7.201351352,1
2.380194205,0.912033236,0
-8.52982233,13.46000302,1
-4.04075116,12.46848248,1
12.11521253,-7.413668979,1
-5.05900065,-6.649767655,0
0.757199755,5.46487167,0
12.46766484,2.71471317,1
12.39216696,-3.656738937,1
-4.584188695,-6.494404541,0
-8.862804432,-0.234657697,0
1.767400967,4.308743127,0
4.522125502,1.607461027,0
-6.762755125,-5.623862216,0
8.116958874,4.918565301,0
-11.76887165,7.846204406,1
6.638274874,0.75635774,0
-4.831314872,-3.954733438,0
-6.688594557,11.77937024,1
10.84317332,-6.573133596,1
8.683624187,-0.630766041,0
14.04392458,5.544648336,1
7.830596034,-9.746491184,1
-7.703557318,4.8825655,0
-6.306769343,-7.18015668,0
7.846676106,-5.1807398,0
-2.55503527,8.531562646,0
7.527485016,-0.007431981,0
11.21127541,5.129228377,1
-1.671273668,-5.012451011,0
8.972820573,0.468966463,0
8.727752349,1.543667447,0
-0.16562518,-7.665699714,0
7.469941235,5.996729101,0
-12.82993722,8.753617172,1
6.192090425,11.0788437,1
1.837034174,9.652718437,0
-12.54744896,-8.771048507,1
-13.30044585,6.317658291,1
13.75632087,3.730783807,1
12.23283488,-4.543856988,1
13.97784434,7.199783005,1
-5.304183095,-2.616666196,0
0.647070753,2.521213918,0
-2.95879607,4.897593514,0
-0.797964619,0.063568075,0
-6.89528858,9.932934077,1
-12.87048045,4.588709578,1
13.27688891,5.868541764,1
5.769895731,1.595352348,0
12.80597555,6.887924899,1
-14.19759261,-5.283062561,1
4.032801504,0.929501893,0
13.01173522,-6.635993711,1
0.599676163,4.859924879,0
