@relation higgs

@attribute x1 {1.000000000000000000e+00,0.000000000000000000e+00}
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x11 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x15 numeric
@attribute x16 numeric
@attribute x17 numeric
@attribute x18 numeric
@attribute x19 numeric
@attribute x20 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric

@data
1.000000000000000000e+00,0.869293,-0.635082,0.22569,0.32747,-0.689993,0.754202,-0.248573,-1.092064,0,1.374992,-0.653674,0.930349,1.107436,1.138904,-1.578198,-1.046985,0,0.65793,-0.010455,-0.045767,3.101961,1.35376,0.979563,0.978076,0.920005,0.721657,0.988751,0.876678
1.000000000000000000e+00,0.907542,0.329147,0.359412,1.49797,-0.31301,1.095531,-0.557525,-1.58823,2.173076,0.812581,-0.213642,1.271015,2.214872,0.499994,-1.261432,0.732156,0,0.398701,-1.13893,-0.000819,0,0.30222,0.833048,0.9857,0.978098,0.779732,0.992356,0.798343
1.000000000000000000e+00,0.798835,1.470639,-1.635975,0.453773,0.425629,1.104875,1.282322,1.381664,0,0.851737,1.540659,-0.81969,2.214872,0.99349,0.35608,-0.208778,2.548224,1.256955,1.128848,0.900461,0,0.909753,1.10833,0.985692,0.951331,0.803252,0.865924,0.780118
0.000000000000000000e+00,1.344385,-0.876626,0.935913,1.99205,0.882454,1.786066,-1.646778,-0.942383,0,2.423265,-0.676016,0.736159,2.214872,1.29872,-1.430738,-0.364658,0,0.745313,-0.678379,-1.360356,0,0.946652,1.028704,0.998656,0.728281,0.8692,1.026736,0.957904
1.000000000000000000e+00,1.105009,0.321356,1.522401,0.882808,-1.205349,0.681466,-1.070464,-0.921871,0,0.800872,1.020974,0.971407,2.214872,0.596761,-0.350273,0.631194,0,0.479999,-0.373566,0.113041,0,0.755856,1.361057,0.98661,0.838085,1.133295,0.872245,0.808487
0.000000000000000000e+00,1.595839,-0.607811,0.007075,1.81845,-0.111906,0.84755,-0.566437,1.581239,2.173076,0.755421,0.64311,1.426367,0,0.921661,-1.190432,-1.615589,0,0.651114,-0.654227,-1.274345,3.101961,0.823761,0.938191,0.971758,0.789176,0.430553,0.961357,0.957818
1.000000000000000000e+00,0.409391,-1.884684,-1.027292,1.672452,-1.604598,1.338015,0.055427,0.013466,2.173076,0.509783,-1.038338,0.707862,0,0.746918,-0.358465,-1.646654,0,0.367058,0.069496,1.37713,3.101961,0.869418,1.222083,1.000627,0.545045,0.698653,0.977314,0.828786
1.000000000000000000e+00,0.933895,0.62913,0.527535,0.238033,-0.966569,0.547811,-0.059439,-1.706866,2.173076,0.941003,-2.653733,-0.15722,0,1.03037,-0.175505,0.523021,2.548224,1.373547,1.291248,-1.467454,0,0.901837,1.083671,0.979696,0.7833,0.849195,0.894356,0.774879
1.000000000000000000e+00,1.405144,0.536603,0.689554,1.179567,-0.110061,3.202405,-1.52696,-1.576033,0,2.931537,0.567342,-0.130033,2.214872,1.787123,0.899499,0.585151,2.548224,0.401865,-0.151202,1.163489,0,1.667071,4.039273,1.175828,1.045352,1.542972,3.534827,2.740754
1.000000000000000000e+00,1.176566,0.104161,1.397002,0.479721,0.265513,1.135563,1.534831,-0.253291,0,1.027247,0.534316,1.180022,0,2.405661,0.087557,-0.976534,2.548224,1.250383,0.268541,0.530334,0,0.833175,0.773968,0.98575,1.103696,0.84914,0.937104,0.812364
1.000000000000000000e+00,0.945974,1.111244,1.218337,0.907639,0.821537,1.153243,-0.36542,-1.566055,0,0.744719,0.72082,-0.375823,2.214872,0.608879,0.307837,-1.281638,0,1.597968,-0.451018,0.063653,3.101961,0.829024,0.980648,0.99436,0.908248,0.775879,0.783311,0.725122
0.000000000000000000e+00,0.739357,-0.17829,0.829934,0.504539,-0.130217,0.961051,-0.355518,-1.717399,2.173076,0.620956,-0.481741,-1.199193,0,0.982601,0.081185,-0.290324,0,1.064663,0.774065,0.39882,3.101961,0.944536,1.026261,0.982197,0.542115,1.250979,0.830045,0.761308
1.000000000000000000e+00,1.384098,0.116822,-1.179879,0.762913,-0.079782,1.019863,0.877318,1.276887,2.173076,0.331252,1.409523,-1.474389,0,1.282738,0.737474,-0.22542,0,1.559753,0.846521,0.504809,3.101961,0.959325,0.807376,1.191814,1.22121,0.861141,0.929341,0.838302
1.000000000000000000e+00,1.383549,0.889179,0.618532,1.081547,0.344606,0.956379,0.854543,-1.129207,2.173076,0.545666,-0.307865,-0.62328,2.214872,0.348257,1.024203,0.184078,0,0.781337,-1.636126,1.144067,0,0.522238,0.737639,0.9862,1.349616,0.812788,0.953406,0.779723
1.000000000000000000e+00,1.343653,0.838533,-1.061139,2.472015,-0.572632,1.51271,1.14369,0.855562,0,0.88422,1.474606,-1.360649,1.107436,1.587266,2.234833,0.077568,0,1.609408,2.396405,0.757294,0,0.93402,0.844707,1.077844,1.400184,0.947775,1.007614,0.901017
0.000000000000000000e+00,0.547014,-0.349709,-0.646657,2.040462,0.276457,0.544697,0.838699,1.728703,0,0.65281,1.471691,1.243273,0,0.78573,-0.044429,-1.019803,2.548224,0.419147,-0.629242,1.570795,3.101961,0.689434,0.86723,1.082488,0.664142,0.354115,0.579945,0.817273
