@relation sphere
@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute res {0,1}

@data
-96.32585852,-59.63002466,9.898430425,-10.00774718,-64.70159186,-89.32779401,-26.76230213,47.67614521,1
-25.12973097,-24.49295092,-69.92093498,68.71456632,-54.98891122,86.84069392,-72.9550958,18.54444217,1
99.16857393,85.22275984,-37.03485414,13.63375899,-79.9904068,63.71911076,68.78087885,-84.54323067,1
50.24983038,61.8026431,-50.96050601,-52.12892194,-28.0614957,1.766588446,-30.95784453,-2.938485719,0
26.89408037,0.247934025,57.21194901,53.33944832,62.49856094,-54.39797076,0.520169422,-32.74076831,0
-3.704941296,-90.41827667,95.18069243,70.19803541,79.52437077,30.01176201,-5.914169661,-50.56161911,1
13.60515131,-64.17263866,69.56457123,73.77110336,-37.0043294,16.64981801,27.70383211,40.08298541,0
31.5522538,61.60251457,-50.71028094,-18.11973454,16.10091484,94.33262269,48.24461118,-49.36725575,0
-43.24668976,54.03880482,-89.34345039,0.411126222,59.95776412,-30.95563134,-20.29562007,52.26487651,0
89.47699927,-90.54732633,-56.71811308,77.51036719,65.81577074,92.41527761,8.634228469,-34.41905067,1
-26.70249008,21.87821764,-40.44056152,36.05815905,47.25570451,41.39638921,-35.32593858,97.00812039,0
80.44371768,-50.91104499,2.32576252,79.37134446,35.15659471,-30.79512488,-46.34745962,27.16674548,0
41.4542393,-22.53878102,-54.39560305,32.88918056,-60.90496202,30.85117363,-46.43738795,40.84306603,0
-81.92067876,77.09922741,-45.59078795,12.52292719,28.48737065,18.90787834,8.599287783,-11.73932559,0
76.82983995,88.37563794,-85.06902222,50.35155001,-36.84018117,28.48573534,-40.9486554,21.48118335,1
-75.66883279,80.20084408,31.81490407,87.32751163,43.70695656,4.668868165,-16.74920666,4.964133282,0
-13.1510663,-75.19011304,65.93012785,32.09899124,-21.83528825,-64.69987703,-37.35895898,32.79983467,0
-43.77407504,-2.727170137,-24.75511167,35.1207796,45.35465375,-24.06931021,-94.5985953,-95.10144601,0
96.40580692,-25.74056091,-29.94321474,-73.5294913,-62.86254823,-95.81231966,-27.82219494,63.04212734,1
74.63916541,63.40617167,37.78046403,92.99462824,97.84807952,-63.97093408,3.020997779,-79.96774248,1
-89.50200401,65.38090255,8.455930623,-42.47154407,55.81392671,74.55629723,7.762284422,-12.50852421,0
-75.36745786,22.1078475,77.34888342,-5.292869806,-86.2479286,-2.19075855,24.36484731,20.97537766,0
-44.14113727,99.75567645,82.68793594,0.360836022,-26.4521911,28.90290803,72.16938878,-90.98523814,1
56.75956777,38.57303621,46.57507432,36.69805556,-18.90402114,27.46173078,-12.88853085,20.3113274,0
90.35156023,-80.0186637,2.295363461,-62.36763417,38.24491681,95.26103409,-83.29468818,-46.9315285,1
16.65353773,15.89056019,74.87025087,28.02827145,-63.29690735,-1.329351507,-25.99428827,-7.608433025,0
-97.72859946,-1.510051294,-68.45075437,79.1658054,-59.54108122,56.96891424,-1.449331108,-53.7385898,1
-49.11134932,-53.36106464,49.86897534,73.58722068,-53.40272523,90.7439638,11.51640477,72.1026371,1
4.626030196,11.90168008,-98.02274985,-75.39675667,-47.4724607,32.94360675,39.6075781,-68.83806601,1
18.05194861,-94.8515708,-88.73332032,79.46095689,-33.79970981,43.92449329,31.82586655,95.60497998,1
42.38944865,-19.22306038,-55.85914383,-41.6016972,97.22911079,29.54398903,37.23841935,-6.373586442,0
-79.90501227,-70.79430137,-2.961826365,-8.145482959,76.81084759,-1.960592479,-32.60362319,66.19207366,0
-11.07672636,-94.73409071,-73.66104775,-51.33801921,-88.32035554,-80.61688926,36.78648889,-74.61264146,1
99.2022271,-12.43395713,9.049809238,-15.3443408,-95.88521036,44.55710204,-79.23975832,-60.80846949,1
-31.71703047,33.36585752,39.03812601,-62.28137271,98.72789847,5.838226096,63.09696702,49.16054418,0
-34.64845432,-50.61816261,87.99941166,7.191511999,75.78093349,36.33470261,18.50472366,-0.335594269,0
47.64609884,83.37934531,29.19970301,39.31696291,-34.47350251,66.97660227,-55.18958079,-90.48108054,1
-89.63924047,17.9626059,-1.847621541,-22.17513536,-66.92491421,78.48564392,-34.99477714,72.4011734,1
4.637158102,50.38100783,19.67461929,8.520004812,89.03257682,8.204160296,47.10524089,54.42787398,0
-66.91061524,67.01384191,52.56020654,-82.69855764,44.17577567,-38.34530249,-8.488850175,-87.2139211,1
42.29130014,95.39304343,-98.95628863,-71.39976219,68.79194387,94.19241862,28.46785751,42.30231401,1
-17.17544618,13.87082112,48.76568468,67.04426851,72.45524962,38.6225739,-7.058407409,-40.71195037,0
71.73019736,7.070322506,-35.9047707,0.781794317,-6.985118118,2.931722469,-27.57950743,3.805196172,0
-83.56845993,-40.40150182,73.33703011,14.4930812,16.60365273,-68.45125156,64.00236914,-91.38633687,1
33.93542295,14.16852411,59.86178379,-28.74168707,15.0881425,-94.81874649,-42.0834603,-80.95420009,0
80.83102648,33.75998632,64.46270147,-48.54362721,71.93776551,-50.03946316,4.295252558,37.15564235,0
87.0589228,-94.46217643,86.26074575,-43.3884257,-42.42480094,-84.89078034,18.75780861,-2.029788843,1
25.71206085,-96.32787236,-58.67287336,24.05780151,-53.54809554,-18.05715714,-95.80502924,59.49035039,1
31.62363255,19.47920636,-21.29914016,91.03989458,16.17029982,-95.98689151,72.52602496,-76.43910411,1
85.00670332,-37.11306252,-11.68874877,94.15315348,57.52469288,61.91654046,8.485134258,-46.18620437,1
57.90674295,82.52561785,-85.01525824,31.814937,63.00679178,-19.25948437,-25.31159196,71.17598198,1
47.29486844,-95.12138653,36.02906123,-82.89952099,55.49193696,-99.6470823,75.87638212,60.35471406,1
-63.65335314,73.11699511,-22.03124317,51.56465068,87.19888258,91.67474189,33.4041253,-37.39616911,1
70.33796076,1.087142254,29.70370431,93.31670828,-14.59621509,-18.84301477,-84.93517757,-50.51712662,0
-94.56297394,-59.49904195,-90.32046362,73.43648497,-21.66149578,78.96043782,11.24017789,68.27987308,1
76.65653363,11.2646246,-5.930387976,-81.63764883,16.051215,93.06419225,-58.61540345,26.07496191,1
-35.05026611,-6.20676785,-85.29849447,24.30107335,72.69002955,66.90498295,-27.85631847,47.86458746,0
-64.71655801,-19.61799172,87.51791614,-24.81336597,58.78738668,52.016316,82.73063387,30.91112908,1
-47.64057638,-90.94194181,73.01672948,16.53863307,54.83298605,33.33013266,-22.95442403,-92.68343218,1
